# -------
# invalid: data/dm-subfuncao-desp.csv.gz
# -------

====  =====  ================  =============================================================================================================================================
row   field  code              message                                                                                                                                      
====  =====  ================  =============================================================================================================================================
   6      3  constraint-error  The cell "0" in row at position "6" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"   
  58      3  constraint-error  The cell "0" in row at position "58" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"  
  98      3  constraint-error  The cell "0" in row at position "98" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"  
 171      3  constraint-error  The cell "0" in row at position "171" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 232      3  constraint-error  The cell "0" in row at position "232" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 255      3  constraint-error  The cell "0" in row at position "255" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 265      3  constraint-error  The cell "0" in row at position "265" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 266      3  constraint-error  The cell "0" in row at position "266" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 452      3  constraint-error  The cell "0" in row at position "452" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 573      3  constraint-error  The cell "0" in row at position "573" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 574      3  constraint-error  The cell "0" in row at position "574" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 583      3  constraint-error  The cell "0" in row at position "583" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 616      3  constraint-error  The cell "0" in row at position "616" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 785      3  constraint-error  The cell "0" in row at position "785" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 786      3  constraint-error  The cell "0" in row at position "786" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 787      3  constraint-error  The cell "0" in row at position "787" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
 809      3  constraint-error  The cell "0" in row at position "809" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1" 
1073      3  constraint-error  The cell "0" in row at position "1073" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1164      3  constraint-error  The cell "0" in row at position "1164" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1184      3  constraint-error  The cell "0" in row at position "1184" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1185      3  constraint-error  The cell "0" in row at position "1185" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1202      3  constraint-error  The cell "0" in row at position "1202" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1203      3  constraint-error  The cell "0" in row at position "1203" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1204      3  constraint-error  The cell "0" in row at position "1204" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1348      3  constraint-error  The cell "0" in row at position "1348" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
1611      3  constraint-error  The cell "0" in row at position "1611" and field "cd_subfuncao" at position "3" does not conform to a constraint: constraint "minimum" is "1"
====  =====  ================  =============================================================================================================================================

