# -------
# invalid: data/dm-tempo-mensal.csv.gz
# -------

====  =====  ==========  =================================================================================================================
row   field  code        message                                                                                                          
====  =====  ==========  =================================================================================================================
   4      2  type-error  Type error in the cell "202300" in row "4" and field "anomes_iso" at position "2": type is "date/%Y%m"           
   4      5  type-error  Type error in the cell "00/2023" in row "4" and field "anomes_formatado" at position "5": type is "date/%m/%Y"   
   5      2  type-error  Type error in the cell "202314" in row "5" and field "anomes_iso" at position "2": type is "date/%Y%m"           
   5      5  type-error  Type error in the cell "14/2023" in row "5" and field "anomes_formatado" at position "5": type is "date/%m/%Y"   
   6      2  type-error  Type error in the cell "202313" in row "6" and field "anomes_iso" at position "2": type is "date/%Y%m"           
   6      5  type-error  Type error in the cell "13/2023" in row "6" and field "anomes_formatado" at position "5": type is "date/%m/%Y"   
  19      2  type-error  Type error in the cell "202400" in row "19" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  19      5  type-error  Type error in the cell "00/2024" in row "19" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  20      2  type-error  Type error in the cell "202414" in row "20" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  20      5  type-error  Type error in the cell "14/2024" in row "20" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  21      2  type-error  Type error in the cell "202413" in row "21" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  21      5  type-error  Type error in the cell "13/2024" in row "21" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  34      2  type-error  Type error in the cell "204700" in row "34" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  34      5  type-error  Type error in the cell "00/2047" in row "34" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  38      2  type-error  Type error in the cell "204714" in row "38" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  38      5  type-error  Type error in the cell "14/2047" in row "38" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  39      2  type-error  Type error in the cell "204713" in row "39" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  39      5  type-error  Type error in the cell "13/2047" in row "39" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  52      2  type-error  Type error in the cell "204800" in row "52" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  52      5  type-error  Type error in the cell "00/2048" in row "52" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  53      2  type-error  Type error in the cell "204814" in row "53" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  53      5  type-error  Type error in the cell "14/2048" in row "53" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  54      2  type-error  Type error in the cell "204813" in row "54" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  54      5  type-error  Type error in the cell "13/2048" in row "54" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  67      2  type-error  Type error in the cell "204900" in row "67" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  67      5  type-error  Type error in the cell "00/2049" in row "67" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  68      2  type-error  Type error in the cell "204914" in row "68" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  68      5  type-error  Type error in the cell "14/2049" in row "68" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  69      2  type-error  Type error in the cell "204913" in row "69" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  69      5  type-error  Type error in the cell "13/2049" in row "69" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  82      2  type-error  Type error in the cell "205000" in row "82" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  82      5  type-error  Type error in the cell "00/2050" in row "82" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  83      2  type-error  Type error in the cell "205014" in row "83" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  83      5  type-error  Type error in the cell "14/2050" in row "83" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  84      2  type-error  Type error in the cell "205013" in row "84" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  84      5  type-error  Type error in the cell "13/2050" in row "84" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
  98      2  type-error  Type error in the cell "193500" in row "98" and field "anomes_iso" at position "2": type is "date/%Y%m"          
  98      5  type-error  Type error in the cell "00/1935" in row "98" and field "anomes_formatado" at position "5": type is "date/%m/%Y"  
 106      2  type-error  Type error in the cell "193514" in row "106" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 106      5  type-error  Type error in the cell "14/1935" in row "106" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 107      2  type-error  Type error in the cell "193513" in row "107" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 107      5  type-error  Type error in the cell "13/1935" in row "107" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 120      2  type-error  Type error in the cell "193600" in row "120" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 120      5  type-error  Type error in the cell "00/1936" in row "120" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 121      2  type-error  Type error in the cell "193614" in row "121" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 121      5  type-error  Type error in the cell "14/1936" in row "121" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
